,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
3110,2,2015-06-02 11:27:18,2015-06-02 11:39:40,1,1.11,-73.95155334472656,40.781986236572266,1,N,-73.96172332763672,40.774505615234375,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
3111,2,2015-06-02 11:27:19,2015-06-02 12:26:41,2,18.45,0.0,0.0,2,N,0.0,0.0,1,52.0,0.0,0.5,0.0,5.54,0.3,58.34
3112,2,2015-06-02 11:27:20,2015-06-02 11:39:34,6,1.26,-73.97775268554686,40.77375411987305,1,N,-73.96778869628906,40.76277542114258,1,9.0,0.0,0.5,1.96,0.0,0.3,11.76
3113,1,2015-06-02 11:27:20,2015-06-02 11:51:45,1,2.9,-73.99327850341797,40.746917724609375,1,N,-73.99176025390625,40.715213775634766,1,16.0,0.0,0.5,3.35,0.0,0.3,20.15
3114,2,2015-06-02 11:27:21,2015-06-02 11:39:55,1,1.72,-73.97575378417967,40.75126266479492,1,N,-73.98540496826173,40.73173141479492,1,9.5,0.0,0.5,1.0,0.0,0.3,11.3
3115,2,2015-06-02 11:27:22,2015-06-02 11:33:55,1,1.23,-73.96209716796875,40.77936172485352,1,N,-73.97693634033203,40.77920913696289,1,7.0,0.0,0.5,1.56,0.0,0.3,9.36
3116,2,2015-06-02 11:26:22,2015-06-02 11:39:32,1,1.26,-74.00504302978516,40.73754119873047,1,N,-73.99777984619139,40.72575759887695,1,9.5,0.0,0.5,2.58,0.0,0.3,12.88
3117,2,2015-06-02 11:26:23,2015-06-02 12:36:31,1,27.81,-73.86663055419923,40.77109146118164,1,N,-73.99173736572266,40.63763046264648,2,82.5,0.0,0.5,0.0,0.0,0.3,83.3
3118,1,2015-06-02 11:26:23,2015-06-02 11:32:03,1,0.6,-73.96581268310547,40.77197265625,1,N,-73.9686508178711,40.764793395996094,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
3119,2,2015-06-02 11:26:24,2015-06-02 11:32:26,1,0.63,-73.9824676513672,40.74626159667969,1,N,-73.9831771850586,40.73897552490234,1,5.5,0.0,0.5,0.0,0.0,0.3,6.3
3120,2,2015-06-02 11:26:25,2015-06-02 11:43:40,1,2.0,-73.98822784423827,40.77935028076172,1,N,-73.9678192138672,40.7626838684082,1,12.0,0.0,0.5,3.2,0.0,0.3,16.0
3121,2,2015-06-02 11:26:25,2015-06-02 11:30:16,1,0.9,-73.99644470214845,40.7267951965332,1,N,-73.98980712890625,40.73550033569336,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8
3122,2,2015-06-02 11:26:26,2015-06-02 11:42:30,6,5.5,-73.9939727783203,40.75178146362305,1,N,-73.96047210693358,40.8160400390625,2,19.0,0.0,0.5,0.0,0.0,0.3,19.8
3123,2,2015-06-02 11:26:26,2015-06-02 12:04:36,1,5.8,-73.96502685546875,40.77016067504882,1,N,-74.00737762451173,40.72589111328125,1,26.0,0.0,0.5,6.7,0.0,0.3,33.5
3124,2,2015-06-02 11:26:27,2015-06-02 11:43:32,1,1.02,-73.99442291259764,40.75069808959961,1,N,-73.98239135742188,40.75757598876953,1,11.0,0.0,0.5,2.95,0.0,0.3,14.75
